Company Name,Industry,Symbol,Series,ISIN Code
P N Gadgil Jewellers Ltd.,Consumer Durables,PNGJL,EQ,INE953R01016
PC Jeweller Ltd.,Consumer Durables,PCJEWELLER,EQ,INE785M01021
PNC Infratech Ltd.,Construction,PNCINFRA,EQ,INE195J01029
PTC India Ltd.,Power,PTC,EQ,INE877F01012
Paras Defence and Space Technologies Ltd.,Capital Goods,PARAS,EQ,INE045601023
Park Medi World Ltd.,Healthcare,PARKHOSPS,EQ,INE119201023
Pearl Global Industries Ltd.,Textiles,PGIL,EQ,INE940H01022
Piccadily Agro Industries Ltd.,Fast Moving Consumer Goods,PICCADIL,EQ,INE546C01010
Power Mech Projects Ltd.,Construction,POWERMECH,EQ,INE211R01019
Praj Industries Ltd.,Capital Goods,PRAJIND,EQ,INE074A01025
Pricol Ltd.,Automobile and Auto Components,PRICOLLTD,EQ,INE726V01018
Prime Focus Ltd,Media Entertainment & Publication,PFOCUS,EQ,INE367G01038
Prism Johnson Ltd.,Construction Materials,PRSMJOHNSN,EQ,INE010A01011
Privi Speciality Chemicals Ltd.,Chemicals,PRIVISCL,EQ,INE959A01019
Prudent Corporate Advisory Services Ltd.,Financial Services,PRUDENT,EQ,INE00F201020
Puravankara Ltd.,Realty,PURVA,EQ,INE323I01011
Quality Power Electrical Equipments Ltd.,Capital Goods,QPOWER,EQ,INE0SII01026
Quess Corp Ltd.,Services,QUESS,EQ,INE615P01015
Rain Industries Ltd,Chemicals,RAIN,EQ,INE855B01025
Rallis India Ltd.,Chemicals,RALLIS,EQ,INE613A01020
Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,RCF,EQ,INE027A01015
Rategain Travel Technologies Ltd.,Information Technology,RATEGAIN,EQ,INE0CLI01024
RattanIndia Enterprises Ltd.,Consumer Services,RTNINDIA,EQ,INE834M01019
RattanIndia Power Ltd.,Power,RTNPOWER,EQ,INE399K01017
Raymond Lifestyle Ltd.,Textiles,RAYMONDLSL,EQ,INE02ID01020
Redtape Ltd.,Consumer Durables,REDTAPE,EQ,INE0LXT01019
Refex Industries Ltd.,Chemicals,REFEX,EQ,INE056I01025
Relaxo Footwears Ltd.,Consumer Durables,RELAXO,EQ,INE131B01039
Religare Enterprises Ltd.,Financial Services,RELIGARE,EQ,INE621H01010
Restaurant Brands Asia Ltd.,Consumer Services,RBA,EQ,INE07T201019
Route Mobile Ltd.,Telecommunication,ROUTE,EQ,INE450U01017
Rubicon Research Ltd.,Healthcare,RUBICON,EQ,INE506V01022
SKF India (Industrial) Ltd.,Capital Goods,SKFINDUS,EQ,INE2J8701016
SKF India Ltd.,Automobile and Auto Components,SKFINDIA,EQ,INE640A01023
SKY GOLD AND DIAMONDS Ltd.,Consumer Durables,SKYGOLD,EQ,INE01IU01018
SML Mahindra Ltd.,Capital Goods,SMLMAH,EQ,INE294B01019
Saatvik Green Energy Ltd.,Capital Goods,SAATVIKGL,EQ,INE13B501022
Safari Industries (India) Ltd.,Consumer Durables,SAFARI,EQ,INE429E01023
Samhi Hotels Ltd.,Consumer Services,SAMHI,EQ,INE08U801020
Sandur Manganese & Iron Ores Ltd.,Oil Gas & Consumable Fuels,SANDUMA,EQ,INE149K01016
Sansera Engineering Ltd.,Automobile and Auto Components,SANSERA,EQ,INE953O01021
Senco Gold Ltd.,Consumer Durables,SENCO,EQ,INE602W01027
Seshaasai Technologies Ltd.,Financial Services,STYL,EQ,INE04VU01023
Shaily Engineering Plastics Ltd.,Consumer Durables,SHAILY,EQ,INE151G01028
Shakti Pumps (India) Ltd.,Capital Goods,SHAKTIPUMP,EQ,INE908D01010
Sharda Cropchem Ltd.,Chemicals,SHARDACROP,EQ,INE221J01015
Share India Securities Ltd.,Financial Services,SHAREINDIA,EQ,INE932X01026
Sheela Foam Ltd.,Consumer Durables,SFL,EQ,INE916U01025
Shilpa Medicare Ltd.,Healthcare,SHILPAMED,EQ,INE790G01031
Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,RENUKA,EQ,INE087H01022
Shriram Pistons & Rings Ltd.,Automobile and Auto Components,SHRIPISTON,EQ,INE526E01018
Skipper Ltd.,Capital Goods,SKIPPER,EQ,INE439E01022
Smartworks Coworking Spaces Ltd.,Services,SMARTWORKS,EQ,INE0NAZ01010
South Indian Bank Ltd.,Financial Services,SOUTHBANK,EQ,INE683A01023
Sri Lotus Developers and Realty Ltd.,Realty,LOTUSDEV,EQ,INE0V9Q01010
Star Cement Ltd.,Construction Materials,STARCEMENT,EQ,INE460H01021
Sterling and Wilson Renewable Energy Ltd.,Construction,SWSOLAR,EQ,INE00M201021
Sterlite Technologies Ltd.,Telecommunication,STLTECH,EQ,INE089C01029
Strides Pharma Science Ltd.,Healthcare,STAR,EQ,INE939A01011
Styrenix Performance Materials Ltd.,Chemicals,STYRENIX,EQ,INE189B01011
Subros Ltd.,Capital Goods,SUBROS,EQ,INE287B01021
Sudarshan Chemical Industries Ltd.,Chemicals,SUDARSCHEM,EQ,INE659A01023
Sudeep Pharma Ltd.,Healthcare,SUDEEPPHRM,EQ,INE0QPI01025
Sun Pharma Advanced Research Company Ltd.,Healthcare,SPARC,EQ,INE232I01014
Sunteck Realty Ltd.,Realty,SUNTECK,EQ,INE805D01034
Supriya Lifescience Ltd.,Healthcare,SUPRIYA,EQ,INE07RO01027
Surya Roshni Ltd.,Capital Goods,SURYAROSNI,EQ,INE335A01020
TARC Ltd.,Realty,TARC,EQ,INE0EK901012
TD Power Systems Ltd.,Capital Goods,TDPOWERSYS,EQ,INE419M01027
TSF Investments Ltd.,Financial Services,TSFINV,EQ,INE202Z01029
TVS Supply Chain Solutions Ltd.,Services,TVSSCS,BE,INE395N01027
Tamilnad Mercantile Bank Ltd.,Financial Services,TMB,EQ,INE668A01016
Tanla Platforms Ltd.,Information Technology,TANLA,EQ,INE483C01032
Texmaco Rail & Eng. Ltd.,Capital Goods,TEXRAIL,EQ,INE621L01012
Thangamayil Jewellery Ltd.,Consumer Durables,THANGAMAYL,EQ,INE085J01014
The Anup Engineering Ltd.,Capital Goods,ANUP,EQ,INE294Z01018
Thomas Cook (India) Ltd.,Consumer Services,THOMASCOOK,EQ,INE332A01027
Thyrocare Technologies Ltd.,Healthcare,THYROCARE,EQ,INE594H01019
Tilaknagar Industries Ltd.,Fast Moving Consumer Goods,TI,EQ,INE133E01013
Time Technoplast Ltd.,Capital Goods,TIMETECHNO,EQ,INE508G01029
Tips Music Ltd.,Media Entertainment & Publication,TIPSMUSIC,EQ,INE716B01029
Transrail Lighting Ltd.,Capital Goods,TRANSRAILL,EQ,INE454P01035
Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,TRIVENI,EQ,INE256C01024
Ujjivan Small Finance Bank Ltd.,Financial Services,UJJIVANSFB,EQ,INE551W01018
V-Guard Industries Ltd.,Consumer Durables,VGUARD,EQ,INE951I01027
V-Mart Retail Ltd.,Consumer Services,VMART,EQ,INE665J01013
V.I.P. Industries Ltd.,Consumer Durables,VIPIND,EQ,INE054A01027
V2 Retail Ltd.,Consumer Services,V2RETAIL,EQ,INE945H01021
Va Tech Wabag Ltd.,Utilities,WABAG,EQ,INE956G01038
Vaibhav Global Ltd.,Consumer Durables,VAIBHAVGBL,EQ,INE884A01027
Valor Estate Ltd.,Realty,DBREALTY,EQ,INE879I01012
Varroc Engineering Ltd.,Automobile and Auto Components,VARROC,EQ,INE665L01035
Vedant Fashions Ltd.,Consumer Services,MANYAVAR,EQ,INE825V01034
Vikram Solar Ltd.,Capital Goods,VIKRAMSOLR,EQ,INE078V01014
Viyash Scientific Ltd.,Healthcare,VIYASH,EQ,INE807F01027
Voltamp Transformers Ltd,Capital Goods,VOLTAMP,EQ,INE540H01012
Waaree Renewable Technologies Ltd.,Capital Goods,WAAREERTL,EQ,INE299N01021
Wakefit Innovations Ltd.,Consumer Durables,WAKEFIT,EQ,INE0E7301029
WeWork India Management Ltd.,Services,WEWORK,EQ,INE085001019
Websol Energy System Ltd.,Capital Goods,WEBELSOLAR,EQ,INE855C01023
Welspun Enterprises Ltd.,Construction,WELENT,EQ,INE625G01013
Westlife Foodworld Ltd.,Consumer Services,WESTLIFE,EQ,INE274F01020
Yatharth Hospital & Trauma Care Services Ltd.,Healthcare,YATHARTH,EQ,INE0JO301016
Zaggle Prepaid Ocean Services Ltd.,Information Technology,ZAGGLE,EQ,INE07K301024
